index,listing_id,num_rooms,layout_type,metro,time_to_the_metro,to_the_metro,address,area_m2,living_area,floor,max_floor,building_type,parking,price,deposit,utilities,rental_duration,Prepayment,description,renovation,balconies,loggias,windows,bathroom_unsepar,bathroom_separ,children_pets_allowed,additional_info,number_options,housing_complex,ceiling_height_m,pass_elevator,cargo_elevator,trash_chute,rent_price_per_metr,near_station
1491,274475919,1.0,0,74,20.0,0,600,45.0,21.0,18,24,2,2,44000,44000.0,0,0,1.0,89,0,1,0,2,1,0,0,70,8.0,88,2.64,2,1,0,978.0,1
1492,274862031,2.0,2,75,20.0,0,601,53.8,20.6,2,25,3,1,52600,52600.0,1,0,1.0,140,1,0,0,2,1,1,1,76,6.0,89,2.6,2,1,2,978.0,1
1493,274940464,2.0,2,73,4.0,0,602,54.0,32.0,11,17,3,2,43000,43000.0,0,0,1.0,26,2,0,1,2,0,1,0,70,8.0,2,2.64,2,1,0,796.0,0
1494,274490001,2.0,2,73,25.0,0,603,60.0,34.0,11,12,3,1,65000,65000.0,0,0,1.0,42,1,1,0,2,0,1,1,52,8.0,2,2.64,2,0,0,1083.0,1
1495,274979113,2.0,0,75,18.0,0,604,20.0,12.0,13,16,2,1,30000,30000.0,0,0,1.0,33,1,0,0,2,1,0,2,26,7.0,88,2.64,0,0,1,1500.0,1
1496,274723913,1.0,0,75,18.0,0,599,19.8,11.0,16,16,3,1,35000,35000.0,1,0,1.0,138,2,0,0,2,1,0,1,167,5.0,87,2.5,2,2,2,1768.0,1
1497,274767958,2.0,0,75,15.0,0,601,25.2,13.5,4,25,3,1,35000,35000.0,0,0,1.0,146,2,0,0,2,1,0,0,84,5.0,89,2.4,2,1,2,1389.0,0
1498,274877108,1.0,0,74,15.0,0,599,25.0,15.0,19,25,0,1,37000,40000.0,0,0,1.0,83,1,1,0,2,1,0,0,10,7.0,87,2.64,1,0,2,1480.0,0
1499,274767954,2.0,0,75,18.0,0,599,25.0,12.6,20,25,3,1,39700,39700.0,1,0,1.0,144,2,0,0,2,1,0,0,76,6.0,87,2.6,1,1,2,1588.0,1
1500,274785548,1.0,0,74,15.0,0,599,39.2,11.0,2,25,3,1,40000,40000.0,1,0,1.0,139,1,0,0,2,1,0,1,147,8.0,87,2.7,1,2,2,1020.0,0
1501,274908344,1.0,0,74,20.0,0,601,35.8,13.2,13,16,3,2,40000,40000.0,0,0,1.0,139,1,0,0,2,1,0,1,168,4.0,89,2.6,1,1,2,1117.0,1
1502,274908325,1.0,0,75,20.0,0,601,44.8,14.3,11,16,3,1,43000,43000.0,0,0,1.0,143,1,0,0,2,1,0,0,10,7.0,89,2.6,1,1,2,960.0,1
1503,274815894,2.0,0,75,20.0,0,601,25.1,13.0,16,25,3,2,45000,45000.0,1,0,1.0,138,1,0,0,2,1,0,0,86,7.0,89,2.8,1,1,2,1793.0,1
1504,274908353,2.0,2,74,20.0,0,601,60.0,33.1,5,25,3,2,56700,56700.0,1,0,1.0,146,2,0,0,2,1,1,1,147,8.0,89,2.5,1,1,2,945.0,1
1505,274908352,3.0,2,75,18.0,0,599,71.9,40.8,12,16,3,1,62800,62800.0,1,0,1.0,139,2,0,0,1,1,1,1,65,7.0,87,2.6,1,1,2,873.0,1
1506,274985515,1.0,0,74,18.0,0,601,26.0,15.0,10,25,3,0,35000,35000.0,0,0,1.0,67,3,0,0,0,1,0,1,107,4.0,89,2.64,2,1,2,1346.0,1
1507,274699670,1.0,0,74,15.0,0,601,30.0,18.0,10,25,0,2,30000,35000.0,0,0,1.0,34,1,0,1,2,1,0,1,45,8.0,88,2.64,1,1,0,1000.0,0
1508,251434745,1.0,0,73,6.0,0,605,38.0,22.8,10,17,3,1,35000,30000.0,0,0,1.0,36,2,1,0,3,0,1,3,63,6.0,2,2.64,2,0,0,921.0,0
1509,273324501,2.0,0,74,15.0,0,599,41.0,24.6,4,25,2,1,45000,50000.0,0,0,1.0,54,1,0,0,0,1,0,1,10,7.0,88,2.64,0,0,1,1098.0,0
1510,268231890,3.0,0,74,18.0,0,599,58.9,31.5,7,25,3,1,65000,65000.0,0,0,1.0,139,1,0,0,2,0,1,1,111,7.0,87,2.78,1,2,1,1104.0,1
